ID,firstName,lastName,email,department_ID,attendance_ID,bonusPercentage
e811ca12-9a7b-4a71-85f2-3f6c56738952,John,Doe,johndoe@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3ab9441b-3a7e-49f8-bdf0-288aae73f944,5
722a04fd-63f5-4ae8-8e5d-7f18d27eb007,Emily,Smith,emilysmith@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,c4630bc7-84e2-4f9c-b7e6-361d7f08dcd0,3
c81d64a4-5ff6-4c58-8d13-fdc11a09ef0d,Michael,Johnson,michaeljohnson@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,6a8b04e1-f48f-4a59-b39e-621f84ef6a58,4
d4384ff3-3283-483d-b6e5-235022319785,Sophia,Brown,sophiabrown@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,24f8d352-55fb-4fbf-8a63-0f5bf05ebaf4,2
5f49a163-21e1-4f5d-a35b-bb6c3701dcbc,Daniel,Miller,danielmiller@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,5a0ab1e3-5a02-4f37-b20c-c110e38c32b8,3.5
8f86f9bb-4220-46d7-b30f-df71996ba131,Emma,Davis,emmadavis@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,a4ed333e-3929-4fbb-bf8c-d5d89130137e,4
4d3b0d15-107e-4190-8190-5c15e0e2a287,James,Wilson,jameswilson@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,8df3c765-c3d1-4bc9-90f3-bc529f3d25f2,2.5
87204de0-4c76-42f7-a0b4-7a125d87f2e6,Olivia,Martinez,oliviamartinez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,8b3adcd2-34cc-4f3b-bdb4-5a49b640a7c2,3
a22cb3c3-57ae-4e2a-a97c-98748c5c2e07,William,Anderson,williamanderson@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,33e673fc-c9bc-47a2-b7d1-05d9cf065161,2
46ef4ff3-b6e5-4bfb-a445-6bc38b1d5a61,Ava,Taylor,avataylor@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,51a9d75a-06a1-4819-81e1-0d631d9eeb40,3
f9d04c5d-8319-4d4e-9a58-77cc99af307f,Liam,Jones,liamjones@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,b64924c8-97aa-4cc1-8a0f-ee48a4229b81,4.5
3b624749-33ed-40ee-8448-d76dc53a72d5,Isabella,Garcia,isabellagarcia@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,45f5dcf8-63b4-4996-99cb-252d0a3f6a88,2
6b027292-720d-4782-8745-32c8ff97766f,Mason,Rodriguez,masonrodriguez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,66212491-5de4-4c91-990d-30966c57c6dc,3.8
e8cc19a8-2e6c-42d5-92b2-7bb4f1926b40,Sophia,Hernandez,sophiahernandez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,08de20ab-7d07-4eb9-aab1-666f5cccd8a0,2.3
eab45d4d-36a1-4d4f-97f8-931f05d8ac51,Logan,Martinez,loganmartinez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,676f13e2-1c51-49c8-81cb-1a0950e3821b,3
4e19b344-1a64-44a3-b106-4b39819f5263,Amelia,Lopez,amelialopez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,39ab99a0-bf61-4e1f-a9ff-baf29b3a97b8,4
af54e87d-67a7-4d17-8f45-25d92d1b072e,Lucas,Gonzalez,lucasgonzalez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0b6e3f31-c5b3-4f5b-b422-2f344d64ff80,2.7
c9a5e6d2-1e7b-4a29-89ab-85dc383b2c5b,Harper,Smith,harpersmith@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,c60a5853-c2d0-4a2a-8f09-c1e8ed73217e,3.2
cbd0c135-4fd3-4b6e-8d35-0408cb5a4c1c,Elijah,Perez,elijahperez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,9e9d8977-1c43-4b22-a738-950f3e931fb3,1.8
0ad36c21-0273-46cf-bb7e-92f0decb16c8,Evelyn,Wilson,evelynwilson@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,8f07d0f0-0d82-4996-a1fd-13a2cb7d0260,2.7
d7a486a1-3ef9-4b45-8a1b-41fe399a69c7,Alexander,Anderson,alexanderanderson@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,097be68c-8c7a-4f4b-9857-aeff48f625cb,4.2
edec92d3-f41d-4f6e-95f6-b4dc09cf92a1,Avery,Taylor,averytaylor@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,d75b8a56-8c28-4f64-b891-f3b8a5793f5e,2
dddf202d-cf3b-486e-af71-62c052d4c526,David,Garcia,davidgarcia@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,39fbaa9b-6a68-4d94-ae8f-892dfb45b7bf,3.1
c50cb116-fa05-498d-8138-4f2bde038e51,Charlotte,Thomas,charlottethomas@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,10802ed0-2d82-44a1-8325-6d12f8710e17,2.9
5a3cb770-7077-446d-852a-545d9db437a3,Michael,Moore,michaelmoore@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,2164f1ab-e3c0-4db5-847f-d5957d4b32b7,3.3
969c6a69-f5c7-41d6-a650-d245fe6a0510,Mia,Jackson,miajackson@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,6b86cf1c-f0a6-472b-a0fd-c123e890d10e,4.3
af6b6540-429b-4f78-9b1e-9f444b5e612e,Ava,Harris,avaharris@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,ba0d3fb2-37b4-4091-a937-c0a5e4d3549c,2.8
86b9e38d-4f62-4639-bb44-3a72d470fb0f,James,White,jameswhite@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,2ab798d8-c6a6-4eb9-a760-d78a6e43a3fd,3.6
560a3497-2a68-486b-8325-9c7bb9da2755,Oliver,Evans,oliverevans@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,0beaa47d-1d54-4b99-aada-cbd34945262b,3.9
6ba0d34e-fa88-4b6d-8f41-43da48a53d5e,Ethan,Hernandez,ethanhernandez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,cc5a0e8b-b4b2-4fe1-85b0-f9cbba1636c3,3.7
f5149172-07cd-468b-8222-16dbd9c24291,Abigail,King,abigailking@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,81f71b6d-dc14-4ebd-af49-b9d2e46ab7a5,4.1
c3e6f5d3-81b8-4e92-aeb8-64e979be3f6d,Alexander,Moore,alexandermoore@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,ff156c4c-09e3-4268-8017-1e25ce21cbf7,2.6
a860109f-49d7-44d6-bb19-15e04bc15562,Harper,Hernandez,harperhernandez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,0d1c9f78-55d5-44b2-9d5e-e0e184cfb15f,3.4
